film,sinopsis,genre
Arwah Tumbal Nyai the Trilogy: part Arwah (Aug),"syurkiani (zaskia gotik) sangat penasaran kenapa dirinya selalu dilarang oleh neneknya, lela (minati atmanagara), untuk belajar jaipong. diam-diam shurkiani mendatangi nyi imas (dewi gita), mantan penari jaipong untuk belajar menari. nyi imas meminta syurkiani memukul kendang misteri sebanyak tiga ketukan sebagai syaratnya. namun, syurkiani memukul kendang tersebut empat kali. setelah kejadian itu nenek syurkiani meninggal diserang makhluk gaib. syurkiani juga menjadi sasaran makhluk gaib karena ia memanggil arwah dengan memukul kendang empat kali. syukriani bersama pacarnya, shakti (shakti arora), berusaha melepaskan diri dari seranganmakhluk gaib itu. akhirnya syurkiani mengetahui bahwa makhluk gaib itu berhubungan dengan wafat neneknya. bahkan dari kejadian tersebut syurkiani menemukan ibunya yang tidak pernah dia ketahui.",Horor
Hantu Tanah Kusir (Aug),"kereta kuda milik seorang cowok tertukar dengan kereta kuda milik hantu. nasibnya pun langsung berubah dan penumpangnya pun berdesakan. namun hal itu tidak berlangsung lama, seorang penumpang bersama seorang gadis jepang seksi bernama pauline (maria ozawa) muncul di hadapannya.",Horor
Hantu Aborsi (Aug),semenjak pindah ke rumah baru caca 7 tahun sering menunjukkan perilaku aneh. orang terdekatnya sering memandang gadis ini berbicara dan bercanda sendiri di dalam kamar. menurut caca temannya bernama cinta.,Horor
Affair (Aug),"kisah tentang permainan cinta dua sahabat reta (sigi wimala) dan santi (garneta haruni). pengorbanan cinta untuk persahabatan melahirkan sebuah hal yang fatal, dan mengakibatkan kematian. reta dan santi bersahabat sejak kecil. mereka sempat berpisah selama beberapa tahun dan bertemu kembali saat kuliah. reta jatuh cinta pada sahabat kuliah mereka yang bernama daniel (dimas aditya), yang sebenarnya kekasih santi. mengetahui hal itu, santi menyembunyikannya dengan daniel, terlebih ketika santi tahu kalau reta mengidap penyakit kanker otak dan divonis hidupnya tidak lebih dari tiga bulan lagi. ia merelakan kekasihnya daniel agar berpacaran dengan reta selama tiga bulan. awalnya daniel menolak tapi karena santi memaksa. akhirnya daniel setuju. reta berpacaran dengan daniel. kecemburuan dan rasa sakit hati membakar santi setiap kali dia harus melihat daniel bermesraan dengan reta.santi mencoba bertahan. ternyata reta dan daniel sudah merayakan setahun jadian mereka. santi gelisah, karena ternyata reta malah makin terlihat sehat. santi meminta daniel untuk mengatakan hal yang sebenarnya pada reta saat daniel ulang tahun, karena santi telah mengandung anak daniel, mereka tidak menyadari kalau reta mendengar apa yang mereka bicarakan. ketika santi menjemput reta di rumahnya, reta mengatakan pada santi kalau dia sudah tahu sandiwara santi , dan reta mengatakan kalau daniel sudah melamarnya dan akan menikahinya, karena reta juga sedang hamil. ternyata reta membohongi santi selama ini tentang penyakitnya, vonis dokter itu hanya merekayasa reta. mendengar hal itu santi kalap dan membunuh reta, kemudian memotong-motong mayatnya, dan menyimpannya dalam sebuah koper. daniel sangat menyesali perbuatan santi, karena sebenarnya daniel tidak pernah melamar reta. tapi kemudian dia mencoba membantu santi menyingkirkan mayat reta. tapi dalam perjalanan, mereka mengalami kecelakaan dan daniel terbunuh. sosok reta menyaksikan kecelakaan itu dan mengambil koper yang terlempar ke jalan dan berisi mayat dirinya. santi yang luka parah dilarikan ke sebuah rumah sakit oleh sepupunya, moniq (monique henry). dokter dan perawat berusaha keras menyelamatkan kehidupan santi. kecelakaan itu menyebabkan santi cidera pada otak dan os berdetak. tapi ketika moniq sedang menemani santi di saat-saat komanya, tiba-tiba saja keanehan terjadi, moniq merasa diteror oleh sesuatu yang sangat menyeramkan, dan yang lebih aneh lagi pada saat bersamaan, santi tiba-tiba sadar dan sembuh total. moniq akhirnya mengetahui seluruh permainan cinta yang fatal tersebut dari buku harian santi. moniq menyesalkan santi karena sudah melakukan hal sebodoh itu. tiba-tiba santi bangkit dan mencoba menyerang moniq secara bertubi-tubi hingga moniq jatuh bangun dan terluka parah. menyadari bahwa yang menyerangnya bukan santi melainkan arwah reta yang ada di tubuh santi, moniq memutuskan untuk melawan.",Horor
Dukun lintah (Aug),"setelah ditolak oleh gadis yang dicintainya, seorang lelaki yang sakit hati mendatangi seorang dukun untuk membalas dendam. tak lama kemudian, penduduk desa terinfeksi rabies dan lintah.",Horor
Hantu juga Selfie (Aug),"gara gara selfie, helsi (beby regita) tewas. meninggal helsi menggegerkan sahabat-sahabatnya. helsi selalu muncul saat sahabat-sahabatnya berfoto selfie. setelah euforia lulus sekolah, loly (agatha vallerie), vega (angelina novie tanjung), gea (marcella daryaani) dan jean (aisya fadilla) pergi berlibur ke pulau. sampai di pulau, loly bertemu bara, musuhnya dan juga pacar helsi. bara (lionil hendrik) menganggap loly mengikutinya. loly beranggapan sama. kemudian keduanya saling ngerjain. penginapan hantu helsi meneror lewat foto selfie, begitu juga hantu kocak lainnya, hingga membuat mereka panik.",Horor
Misteri Janda Kembang (Aug),seorang gadis kembali dari meninggal untuk membalas dendam pada sekelompok penjahat yang memperkosanya dan membunuhnya.,Horor
Rasuk 2 (Aug),"isabella (nikita willy), seorang mahasiswa kedokteran yang sedang menjalani magang, merasa tidak nyaman dengan kemampuan indra keenamnya. ia berusaha keras untuk menganggapnya tidak ada, agar ia bisa nasib normal. ...",Horor
Hantu rumah ampera (Aug),seorang pemuda yang pernah berjanji akan kembali kepada seorang cewek yang ditinggal pergi ke luar negeri. namun ternyata pemuda tersebut mengingkari janjinya.,Horor
Dongeng Mistis (Aug),"film omnibus ini mengisahkan enam cerita seputar gangguan enam hantu khas indonesia: ustaz (kiky armando) yang diuji oleh gangguan pocong; gadis (putri ayudya) yang dikunjungi bajang pasca menggugurkan kandungannya; tipu daya sundel bolong terhadap seorang gadis hamil (marya supraba); reporter investigasi (gandhi fernando) terkait legenda begu ganjang yang misterius; gadis (dea ananda) yang menemukan ayahnya memelihara genderuwo; dan seorang gadis (btari cinta) yang melakukan tarian terlarang memanggil lehak, makhluk terkutuk dari legenda.",Horor
12:06 Rumah Kucing (Aug),"banyak kejadian aneh dan menakutkan yang dialami rumah tangga randy (adi nugroho) dan rosa (masayu anastasia), sejak terbelahnya secara misterius lantai gudang di rumahnya pada 12.06. kehadiran beberapa ekor kucing membuka kisah tragis masa lalu dan membangkitkan arwah sally, yang meninggal dunia secara tidak wajar. semula randy tidak menganggap benar pada cerita-cerita seram yang menakutkan yang dialami istri dan anak-anaknya, rasti (cathy fakandi) dan radit (endy arfian). rasti pelan-pelan dirasuki arwah sally. pada saat rasti mulai aneh, radit mencari tahu cerita rumah mereka kepada penghuni terdahulu, adelia. rumah tangga adelia sering mengalami gangguan dari mahluk halus dan suaminya menyebabkan penyakit cacat. atas saran adelia, radit memanggil kyai rahman untuk membantu keluarganya.",Horor
Rumah Belanda (Aug),raya seorang penulis dipekerjakan oleh seorang milyuner bernama hilda untuk menulis biografi tentang aline. dia dikirim untuk tinggal di sebuah rumah sehingga dia bisa menulis buku dengan tenang. tapi begitu sampai di sana dia dan dua anaknya menjadi target yang menghantui dari entitas misterius. menyadari bahwa rumah itu memiliki informasi pribadi yang dalam dan gelap raya berusaha mengungkap misteri di baliknya.,Horor
Misteri janda kembang (Aug),asih (sally marcellina) diperkosa beberapa pemuda peristiwa tersebut tak diketahui siapa pun kecuali asih dan kedua orang tua asih. informasi pribadi tersebut tetap mereka simpan dan asih dikawinkan dengan lelaki yang jauh lebih tua. ketika tahu asih tak perawan lagi asih diceraikan oleh suaminya. peristiwa tersebut membuat asih menjadi malu dan akhirnya melakukan bunuh diri. setelah wafat asih kedua orangtuanya menghubungi seorang dukun untuk membangkitkan arwah asih dengan tujuan untuk membalas dendam pada para pemerkosanya. satu demi satu pemuda yang memperkosa asih pun mati hingga seorang kyaidan muridnya pandu (teddy frangi suluri) berusaha menyempurnakan wafat asih agar rohnya tak bergentayangan lagi. usaha mereka berhasil meski sebelumnya telah jatuh banyak korban.,Horor
12:06 Rumah Kucing (Aug),"banyak kejadian aneh dan menakutkan yang dialami oleh rumah tangga randy (adi nugroho) dengan rosa (masayu anastasia), sejak lantai gudang di rumahnya terbelah tepat lewat tengah malam pukul 12.06...",Horor
Misteri Wanita Berdarah Dingin (Aug),seorang perempuan yang terbunuh kembali ke kehidupan sebagai hantu yang berubah bentuk yang dapat berubah menjadi serigala.,Horor
